POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY	
1	Denny Hamlin	11	Toyota	300	1	57	62	7	0	
2	Christopher Bell	20	Toyota	300	4	29	38	3	0	
3	Chase Briscoe	19	Toyota	300	31	14	39	5	0	
4	Ricky Stenhouse Jr.	47	Chevrolet	300	15	0	41	8	0	
5	Shane van Gisbergen	97	Chevrolet	300	10	12	32	0	0	
6	Tyler Reddick	45	Toyota	300	2	42	37	6	0	
7	Chase Elliott	9	Chevrolet	300	29	3	37	7	0	
8	Ryan Blaney	12	Ford	300	7	46	37	8	0	
9	Zane Smith	38	Ford	300	11	18	28	0	0	
10	Carson Hocevar	77	Chevrolet	300	17	0	27	0	0	
11	Erik Jones	43	Toyota	300	13	3	26	0	0	
12	Ty Dillon	10	Chevrolet	300	30	0	25	0	0	
13	Ty Gibbs	54	Toyota	300	6	1	24	0	0	
14	Joey Logano	22	Ford	300	9	1	23	0	0	
15	Michael McDowell	71	Chevrolet	300	14	0	27	5	0	
16	Noah Gragson	4	Ford	299	26	0	21	0	0	
17	Riley Herbst	35	Toyota	299	23	1	22	2	0	
18	Austin Dillon	3	Chevrolet	299	32	0	19	0	0	
19	Daniel Suarez	7	Chevrolet	299	3	10	28	10	0	
20	Todd Gilliland	34	Ford	299	21	0	17	0	0	
21	Cole Custer	41	Chevrolet	299	20	0	16	0	0	
22	Cody Ware	51	Chevrolet	299	34	0	15	0	0	
23	Kyle Larson	5	Chevrolet	299	5	56	23	9	0	
24	John Hunter Nemechek	42	Toyota	298	27	0	13	0	0	
25	Corey Heim	67	Toyota	298	24	0	0	0	0	
26	Austin Cindric	2	Ford	296	36	0	18	7	0	
27	Austin Hill	33	Chevrolet	293	25	0	0	0	0	
28	Chad Finchum	66	Ford	289	37	0	0	0	0	
29	Chris Buescher	17	Ford	286	22	0	8	0	0	
30	William Byron	24	Chevrolet	231	8	0	15	8	0	
31	Josh Berry	21	Ford	214	33	0	6	0	0	
32	Bubba Wallace	23	Toyota	203	18	0	10	5	0	
33	Alex Bowman	48	Chevrolet	203	19	0	13	9	0	
34	Brad Keselowski	6	Ford	192	12	0	4	1	0	
35	AJ Allmendinger	16	Chevrolet	172	16	7	12	10	0	
36	Ryan Preece	60	Ford	90	28	0	1	0	0	
37	Ross Chastain	1	Chevrolet	81	35	0	1	0	0	
38	Connor Zilisch	88	Chevrolet	71	38	0	1	0	0	
