POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY	
1	Tyler Reddick	45	Toyota	200	26	1	58	3	0	
2	Ricky Stenhouse Jr.	47	Chevrolet	200	16	4	39	4	0	
3	Joey Logano	22	Ford	200	3	9	46	12	0	
4	Chase Elliott	9	Chevrolet	200	4	2	43	10	0	
5	Brad Keselowski	6	Ford	200	9	0	39	7	0	
6	Zane Smith	38	Ford	200	30	9	41	10	0	
7	Chris Buescher	17	Ford	200	41	4	39	9	0	
8	Riley Herbst	35	Toyota	200	28	0	35	6	0	
9	Josh Berry	21	Ford	200	14	1	33	5	0	
10	Bubba Wallace	23	Toyota	200	27	40	37	10	0	
11	Noah Gragson	4	Ford	200	25	0	27	1	0	
12	William Byron	24	Chevrolet	200	39	0	25	0	0	
13	Daniel Suarez	7	Chevrolet	200	15	0	35	11	0	
14	Ty Dillon	10	Chevrolet	200	34	3	23	0	0	
15	Kyle Busch	8	Chevrolet	200	1	19	29	7	0	
16	Kyle Larson	5	Chevrolet	200	8	7	29	8	0	
17	Cody Ware	51	Chevrolet	200	33	2	20	0	0	
18	Carson Hocevar	77	Chevrolet	200	6	1	36	17	0	
19	AJ Allmendinger	16	Chevrolet	200	35	1	18	0	0	
20	Ross Chastain	1	Chevrolet	200	37	12	17	0	0	
21	Erik Jones	43	Toyota	200	24	0	16	0	0	
22	Michael McDowell	71	Chevrolet	200	10	10	26	11	0	
23	Ty Gibbs	54	Toyota	200	20	0	16	2	0	
24	Cole Custer	41	Chevrolet	200	23	0	13	0	0	
25	Ryan Preece	60	Ford	200	19	0	17	5	0	
26	John Hunter Nemechek	42	Toyota	199	11	19	25	14	0	
27	Ryan Blaney	12	Ford	199	5	2	36	26	0	
28	Corey Heim	67	Toyota	199	29	8	0	0	0	
29	Jimmie Johnson	84	Toyota	199	31	0	0	0	0	
30	Shane van Gisbergen	97	Chevrolet	199	13	3	13	5	0	
31	Denny Hamlin	11	Toyota	198	22	3	8	1	0	
32	Casey Mears	66	Ford	195	17	0	9	3	0	
33	Connor Zilisch	88	Chevrolet	195	32	0	5	0	0	
34	Austin Cindric	2	Ford	193	36	5	13	9	0	
35	Christopher Bell	20	Toyota	191	12	9	9	6	0	
36	Chase Briscoe	19	Toyota	188	2	23	2	0	0	
37	Austin Dillon	3	Chevrolet	137	7	0	9	0	0	
38	Justin Allgaier	40	Chevrolet	123	40	3	0	0	0	
39	Todd Gilliland	34	Ford	123	18	1	4	3	0	
40	Alex Bowman	48	Chevrolet	123	21	0	4	3	0	
41	B.J. McLeod	78	Chevrolet	4	38	0	1	0	0	
