POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY	
1	Denny Hamlin	11	Toyota	200	1	40	58	3	0	
2	Erik Jones	43	Toyota	200	10	0	44	9	0	
3	Bubba Wallace	23	Toyota	200	13	9	40	6	0	
4	Kyle Larson	5	Chevrolet	200	7	4	44	11	0	
5	Carson Hocevar	77	Chevrolet	200	2	21	45	13	0	
6	Daniel Suarez	7	Chevrolet	200	11	10	40	9	0	
7	Joey Logano	22	Ford	200	18	0	32	2	0	
8	Ryan Blaney	12	Ford	200	19	0	29	0	0	
9	Chris Buescher	17	Ford	200	14	0	31	3	0	
10	Chase Briscoe	19	Toyota	200	5	0	27	0	0	
11	Austin Cindric	2	Ford	200	31	0	26	0	0	
12	Cole Custer	41	Chevrolet	200	15	0	25	0	0	
13	Riley Herbst	35	Toyota	200	12	0	26	2	0	
14	John Hunter Nemechek	42	Toyota	200	17	0	23	0	0	
15	Josh Berry	21	Ford	200	37	0	22	0	0	
16	Ross Chastain	1	Chevrolet	200	32	1	21	0	0	
17	AJ Allmendinger	16	Chevrolet	200	25	0	20	0	0	
18	William Byron	24	Chevrolet	200	9	7	25	6	0	
19	Alex Bowman	48	Chevrolet	200	29	0	18	0	0	
20	Austin Hill	33	Chevrolet	200	28	0	0	0	0	
21	J.J. Yeley	44	Chevrolet	199	36	2	0	0	0	
22	Todd Gilliland	34	Ford	199	35	0	15	0	0	
23	Cody Ware	51	Chevrolet	198	33	0	14	0	0	
24	Ty Dillon	10	Chevrolet	196	24	0	13	0	0	
25	Ty Gibbs	54	Toyota	187	4	6	21	9	0	
26	Michael McDowell	71	Chevrolet	158	20	0	11	0	0	
27	Noah Gragson	4	Ford	156	22	0	10	0	0	
28	Ryan Preece	60	Ford	155	27	0	9	0	0	
29	Ricky Stenhouse Jr.	47	Chevrolet	154	23	0	8	0	0	
30	Shane van Gisbergen	97	Chevrolet	154	30	0	7	0	0	
31	Christopher Bell	20	Toyota	147	8	0	11	5	0	
32	Chase Elliott	9	Chevrolet	147	6	67	22	17	0	
33	Zane Smith	38	Ford	141	16	0	10	6	0	
34	Brad Keselowski	6	Ford	89	26	0	3	0	0	
35	Tyler Reddick	45	Toyota	83	3	33	12	10	0	
36	Austin Dillon	3	Chevrolet	82	21	0	1	0	0	
37	Connor Zilisch	88	Chevrolet	8	34	0	1	0	0	
