POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY	
1	Carson Hocevar	77	Chevrolet	188	12	19	55	0	0	
2	Chris Buescher	17	Ford	188	10	22	50	15	0	
3	Alex Bowman	48	Chevrolet	188	20	0	37	3	0	
4	Chase Elliott	9	Chevrolet	188	8	0	35	2	0	
5	Zane Smith	38	Ford	188	30	0	34	2	0	
6	Ricky Stenhouse Jr.	47	Chevrolet	188	22	2	38	7	0	
7	Ross Chastain	1	Chevrolet	188	24	22	41	11	0	
8	Austin Cindric	2	Ford	188	13	0	29	0	0	
9	Noah Gragson	4	Ford	188	29	2	31	3	0	
10	Kyle Busch	8	Chevrolet	188	34	0	27	0	0	
11	Todd Gilliland	34	Ford	188	19	0	34	8	0	
12	Daniel Suarez	7	Chevrolet	188	16	0	25	0	0	
13	Ty Dillon	10	Chevrolet	188	35	0	24	0	0	
14	Tyler Reddick	45	Toyota	188	1	2	27	4	0	
15	Denny Hamlin	11	Toyota	188	3	28	22	0	0	
16	AJ Allmendinger	16	Chevrolet	188	28	0	21	0	0	
17	Christopher Bell	20	Toyota	188	14	31	29	9	0	
18	Ryan Preece	60	Ford	188	11	21	34	15	0	
19	Austin Dillon	3	Chevrolet	188	18	5	18	0	0	
20	Shane van Gisbergen	97	Chevrolet	188	33	0	17	0	0	
21	Cody Ware	51	Chevrolet	188	36	0	20	4	0	
22	John Hunter Nemechek	42	Toyota	187	23	0	15	0	0	
23	Erik Jones	43	Toyota	187	21	0	14	0	0	
24	Daniel Dye	78	Chevrolet	186	40	0	0	0	0	
25	Riley Herbst	35	Toyota	186	17	0	12	0	0	
26	Connor Zilisch	88	Chevrolet	185	32	0	11	0	0	
27	Jesse Love	33	Chevrolet	185	37	0	0	0	0	
28	Chad Finchum	66	Ford	182	38	8	9	0	0	
29	Chase Briscoe	19	Toyota	180	5	3	8	0	0	
30	Joey Gase	44	Chevrolet	177	39	0	0	0	0	
31	Brad Keselowski	6	Ford	166	6	0	15	9	0	
32	Michael McDowell	71	Chevrolet	149	31	1	5	0	0	
33	Josh Berry	21	Ford	124	26	0	9	5	0	
34	Ty Gibbs	54	Toyota	122	9	17	3	0	0	
35	William Byron	24	Chevrolet	119	7	0	2	0	0	
36	Bubba Wallace	23	Toyota	114	4	3	1	0	0	
37	Ryan Blaney	12	Ford	114	15	0	7	6	0	
38	Cole Custer	41	Chevrolet	114	27	0	1	0	0	
39	Joey Logano	22	Ford	114	25	3	9	8	0	
40	Kyle Larson	5	Chevrolet	114	2	0	1	0	0	
