POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY	
1	Corey Heim	67	Toyota	75	13	3	0	0	0	
2	Bubba Wallace	23	Toyota	75	12	2	35	0	0	
3	Kyle Larson	5	Chevrolet	75	14	11	42	8	0	
4	Zane Smith	38	Ford	75	4	3	33	0	0	
5	AJ Allmendinger	16	Chevrolet	75	15	0	45	13	0	
6	Chris Buescher	17	Ford	75	16	7	39	8	0	
7	Ross Chastain	1	Chevrolet	75	23	0	33	3	0	
8	Riley Herbst	35	Toyota	75	24	3	38	9	0	
9	Ryan Blaney	12	Ford	75	3	12	44	16	0	
10	Michael McDowell	71	Chevrolet	75	9	0	27	0	0	
11	Ryan Preece	60	Ford	75	7	5	45	19	0	
12	Chase Elliott	9	Chevrolet	75	30	0	25	0	0	
13	Daniel Suarez	7	Chevrolet	75	6	0	28	4	0	
14	Denny Hamlin	11	Toyota	75	26	0	23	0	0	
15	Ty Gibbs	54	Toyota	75	11	0	29	7	0	
16	John Hunter Nemechek	42	Toyota	75	28	0	21	0	0	
17	Chase Briscoe	19	Toyota	75	22	0	20	0	0	
18	Joey Logano	22	Ford	75	19	0	23	4	0	
19	Carson Hocevar	77	Chevrolet	75	2	4	27	9	0	
20	Erik Jones	43	Toyota	75	38	0	17	0	0	
21	Todd Gilliland	34	Ford	75	5	0	23	7	0	
22	Austin Cindric	2	Ford	75	31	0	15	0	0	
23	Cody Ware	51	Chevrolet	75	39	0	14	0	0	
24	Austin Dillon	3	Chevrolet	75	18	0	13	0	0	
25	Tyler Reddick	45	Toyota	75	17	9	12	0	0	
26	Alex Bowman	48	Chevrolet	75	20	0	11	0	0	
27	Kevin Magnussen	91	Chevrolet	75	21	0	11	1	0	
28	Jimmie Johnson	84	Toyota	75	36	0	9	0	0	
29	Josh Berry	21	Ford	75	35	0	8	0	0	
30	Ty Dillon	10	Chevrolet	74	34	0	7	0	0	
31	Cole Custer	41	Chevrolet	72	25	0	6	0	0	
32	William Byron	24	Chevrolet	68	27	0	6	1	0	
33	Ricky Stenhouse Jr.	47	Chevrolet	59	33	0	4	0	0	
34	Brad Keselowski	6	Ford	59	29	0	3	0	0	
35	Noah Gragson	4	Ford	37	32	0	2	0	0	
36	Austin Hill	33	Chevrolet	31	10	1	0	0	0	
37	Connor Zilisch	88	Chevrolet	31	8	8	3	2	0	
38	Shane van Gisbergen	97	Chevrolet	31	1	7	1	0	0	
39	Christopher Bell	20	Toyota	28	37	0	1	0	0	
