POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY	
1	Ryan Blaney	12	Ford	312	5	0	0	0	0	
2	Christopher Bell	20	Toyota	312	12	0	0	0	0	
3	Kyle Larson	5	Chevrolet	312	2	0	0	0	0	
4	Ty Gibbs	54	Toyota	312	14	0	0	0	0	
5	Denny Hamlin	11	Toyota	312	11	0	0	0	0	
6	Bubba Wallace	23	Toyota	312	28	0	0	0	0	
7	William Byron	24	Chevrolet	312	9	0	0	0	0	
8	Tyler Reddick	45	Toyota	312	8	0	0	0	0	
9	Michael McDowell	71	Chevrolet	312	16	0	0	0	0	
10	Erik Jones	43	Toyota	312	32	0	0	0	0	
11	Shane van Gisbergen	97	Chevrolet	312	18	0	0	0	0	
12	Todd Gilliland	34	Ford	312	30	0	0	0	0	
13	Ryan Preece	60	Ford	312	13	0	0	0	0	
14	Chris Buescher	17	Ford	312	17	0	0	0	0	
15	Brad Keselowski	6	Ford	312	37	0	0	0	0	
16	Austin Dillon	3	Chevrolet	312	25	0	0	0	0	
17	Kyle Busch	8	Chevrolet	312	29	0	0	0	0	
18	Riley Herbst	35	Toyota	312	22	0	0	0	0	
19	AJ Allmendinger	16	Chevrolet	312	23	0	0	0	0	
20	Carson Hocevar	77	Chevrolet	312	7	0	0	0	0	
21	Austin Hill	33	Chevrolet	312	27	0	0	0	0	
22	Ricky Stenhouse Jr.	47	Chevrolet	312	21	0	0	0	0	
23	Chase Elliott	9	Chevrolet	312	26	0	0	0	0	
24	Cody Ware	51	Chevrolet	312	34	0	0	0	0	
25	John Hunter Nemechek	42	Toyota	312	15	0	0	0	0	
26	Ty Dillon	10	Chevrolet	312	33	0	0	0	0	
27	Zane Smith	38	Ford	312	24	0	0	0	0	
28	Ross Chastain	1	Chevrolet	312	6	0	0	0	0	
29	Connor Zilisch	88	Chevrolet	312	19	0	0	0	0	
30	Daniel Suarez	7	Chevrolet	312	4	0	0	0	0	
31	Joey Logano	22	Ford	312	1	0	0	0	0	
32	Josh Berry	21	Ford	312	10	0	0	0	0	
33	Anthony Alfredo	48	Chevrolet	312	31	0	0	0	0	
34	Austin Cindric	2	Ford	312	3	0	0	0	0	
35	Cole Custer	41	Chevrolet	312	36	0	0	0	0	
36	Noah Gragson	4	Ford	312	35	0	0	0	0	
37	Chase Briscoe	19	Toyota	312	20	0	0	0	0	
