POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY	
1	Tyler Reddick	45	Toyota	271	1	53	67	12	0	
2	Chase Briscoe	19	Toyota	271	34	27	43	8	0	
3	Ross Chastain	1	Chevrolet	271	21	0	34	0	0	
4	Carson Hocevar	77	Chevrolet	271	15	2	38	5	0	
5	Daniel Suarez	7	Chevrolet	271	12	0	32	0	0	
6	Shane van Gisbergen	97	Chevrolet	271	28	1	32	1	0	
7	Zane Smith	38	Ford	271	6	1	30	0	0	
8	Bubba Wallace	23	Toyota	271	9	46	48	19	0	
9	Ryan Preece	60	Ford	271	26	0	32	4	0	
10	Ryan Blaney	12	Ford	271	22	6	31	4	0	
11	Chase Elliott	9	Chevrolet	271	4	11	38	12	0	
12	AJ Allmendinger	16	Chevrolet	271	19	0	25	0	0	
13	Denny Hamlin	11	Toyota	271	29	10	24	0	0	
14	Noah Gragson	4	Ford	271	11	0	23	0	0	
15	Chris Buescher	17	Ford	271	7	0	22	0	0	
16	Ty Dillon	10	Chevrolet	271	17	0	21	0	0	
17	Brad Keselowski	6	Ford	271	5	10	22	2	0	
18	Joey Logano	22	Ford	271	2	26	22	3	0	
19	John Hunter Nemechek	42	Toyota	271	24	0	18	0	0	
20	Michael McDowell	71	Chevrolet	271	20	0	17	0	0	
21	Christopher Bell	20	Toyota	271	32	9	16	0	0	
22	Cole Custer	41	Chevrolet	270	27	0	16	1	0	
23	Alex Bowman	48	Chevrolet	269	36	0	14	0	0	
24	Erik Jones	43	Toyota	269	23	0	13	0	0	
25	Todd Gilliland	34	Ford	258	35	0	12	0	0	
26	Austin Cindric	2	Ford	257	30	21	21	10	0	
27	Cody Ware	51	Chevrolet	257	18	0	10	0	0	
28	William Byron	24	Chevrolet	256	13	0	25	16	0	
29	Austin Dillon	3	Chevrolet	256	33	0	8	0	0	
30	Connor Zilisch	88	Chevrolet	223	31	0	9	2	0	
31	J.J. Yeley	44	Chevrolet	220	38	0	0	0	0	
32	Kyle Larson	5	Chevrolet	160	16	48	13	8	0	
33	Riley Herbst	35	Toyota	157	8	0	4	0	0	
34	Kyle Busch	8	Chevrolet	124	14	0	7	4	0	
35	B.J. McLeod	78	Chevrolet	111	37	0	2	0	0	
36	Ricky Stenhouse Jr.	47	Chevrolet	103	3	0	1	0	0	
37	Ty Gibbs	54	Toyota	81	25	0	1	0	0	
38	Josh Berry	21	Ford	81	10	0	1	0	0	
