POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY	
1	Chase Elliott	9	Chevrolet	60	4	9	0	0	0	
2	Carson Hocevar	77	Chevrolet	60	14	1	0	0	0	
3	Kyle Larson	5	Chevrolet	60	3	0	0	0	0	
4	Michael McDowell	71	Chevrolet	60	10	3	0	0	0	
5	Christopher Bell	20	Toyota	60	6	0	0	0	0	
6	Josh Berry	21	Ford	60	13	0	0	0	0	
7	Ricky Stenhouse Jr.	47	Chevrolet	60	19	0	0	0	0	
8	Todd Gilliland	34	Ford	60	16	0	0	0	0	
9	Ty Gibbs	54	Toyota	60	5	0	0	0	0	
10	Denny Hamlin	11	Toyota	60	2	0	0	0	0	
11	Erik Jones	43	Toyota	60	12	0	0	0	0	
12	Tyler Reddick	45	Toyota	60	20	1	0	0	0	
13	Riley Herbst	35	Toyota	60	15	1	0	0	0	
14	Zane Smith	38	Ford	60	9	0	0	0	0	
15	Connor Zilisch	88	Chevrolet	60	11	1	0	0	0	
16	Ty Dillon	10	Chevrolet	60	18	3	0	0	0	
17	Austin Cindric	2	Ford	60	8	0	0	0	0	
18	Anthony Alfredo	62	Chevrolet	60	17	1	0	0	0	
19	B.J. McLeod	78	Chevrolet	60	21	0	0	0	0	
20	Chase Briscoe	19	Toyota	60	1	38	0	0	0	
21	Justin Allgaier	40	Chevrolet	60	7	2	0	0	0	
22	J.J. Yeley	44	Chevrolet	57	22	0	0	0	0	
uescher	17	Ford	55	5	1	0	0	0	
