POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY	
1	Ty Gibbs	54	Toyota	505	5	25	59	4	0	
2	Ryan Blaney	12	Ford	505	1	190	53	18	0	
3	Kyle Larson	5	Chevrolet	505	8	284	54	20	0	
4	Tyler Reddick	45	Toyota	505	2	0	33	0	0	
5	Chase Briscoe	19	Toyota	505	3	0	45	13	0	
6	Todd Gilliland	34	Ford	505	35	0	31	0	0	
7	Joey Logano	22	Ford	505	20	0	33	3	0	
8	Ryan Preece	60	Ford	505	17	0	29	0	0	
9	Denny Hamlin	11	Toyota	505	11	0	41	13	0	
10	Carson Hocevar	77	Chevrolet	505	10	0	38	11	0	
11	Bubba Wallace	23	Toyota	505	12	0	30	4	0	
12	Daniel Suarez	7	Chevrolet	505	13	0	25	0	0	
13	Chris Buescher	17	Ford	505	7	0	24	0	0	
14	Brad Keselowski	6	Ford	505	21	0	23	0	0	
15	AJ Allmendinger	16	Chevrolet	505	22	0	22	0	0	
16	Austin Cindric	2	Ford	505	9	0	23	2	0	
17	Ricky Stenhouse Jr.	47	Chevrolet	504	23	0	20	0	0	
18	Austin Dillon	3	Chevrolet	504	24	0	19	0	0	
19	Zane Smith	38	Ford	504	15	0	18	0	0	
20	Ross Chastain	1	Chevrolet	504	6	0	17	0	0	
21	Riley Herbst	35	Toyota	504	4	0	19	3	0	
22	Chase Elliott	9	Chevrolet	504	18	6	15	0	0	
23	Erik Jones	43	Toyota	503	28	0	14	0	0	
24	Michael McDowell	71	Chevrolet	503	19	0	13	0	0	
25	Kyle Busch	8	Chevrolet	503	29	0	12	0	0	
26	Noah Gragson	4	Ford	503	16	0	11	0	0	
27	Christopher Bell	20	Toyota	501	14	0	19	9	0	
28	Cole Custer	41	Chevrolet	501	30	0	9	0	0	
29	Ty Dillon	10	Chevrolet	501	32	0	8	0	0	
30	William Byron	24	Chevrolet	500	34	0	7	0	0	
31	Cody Ware	51	Chevrolet	500	36	0	6	0	0	
32	Josh Berry	21	Ford	490	25	0	16	11	0	
33	Connor Zilisch	88	Chevrolet	478	26	0	4	0	0	
34	Shane van Gisbergen	97	Chevrolet	335	33	0	3	0	0	
35	John Hunter Nemechek	42	Toyota	324	31	0	2	0	0	
36	Chad Finchum	66	Ford	241	37	0	1	0	0	
37	Alex Bowman	48	Chevrolet	163	27	0	1	0	0	
