POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY	
1	Shane van Gisbergen	97	Chevrolet	100	1	74	68	13	0	
2	Michael McDowell	71	Chevrolet	100	2	5	36	1	0	
3	Ty Gibbs	54	Toyota	100	10	17	42	8	0	
4	Chase Briscoe	19	Toyota	100	9	0	35	2	0	
5	Tyler Reddick	45	Toyota	100	15	0	41	9	0	
6	Austin Dillon	3	Chevrolet	100	25	0	38	7	0	
7	AJ Allmendinger	16	Chevrolet	100	12	0	36	6	0	
8	Kyle Busch	8	Chevrolet	100	21	0	35	6	0	
9	Austin Cindric	2	Ford	100	3	0	39	11	0	
10	John Hunter Nemechek	42	Toyota	100	17	0	32	5	0	
11	Ryan Blaney	12	Ford	100	7	0	34	8	0	
12	Chris Buescher	17	Ford	100	14	0	30	5	0	
13	Daniel Suarez	7	Chevrolet	100	16	0	24	0	0	
14	Ryan Preece	60	Ford	100	30	0	23	0	0	
15	Cole Custer	41	Chevrolet	100	19	0	22	0	0	
16	Denny Hamlin	11	Toyota	100	20	0	21	0	0	
17	Todd Gilliland	34	Ford	100	22	0	20	0	0	
18	Zane Smith	38	Ford	100	33	0	19	0	0	
19	Erik Jones	43	Toyota	100	24	0	18	0	0	
20	Connor Zilisch	88	Chevrolet	100	5	0	21	4	0	
21	Christopher Bell	20	Toyota	100	8	0	20	4	0	
22	Noah Gragson	4	Ford	100	35	0	15	0	0	
23	Kyle Larson	5	Chevrolet	100	23	0	14	0	0	
24	Chase Elliott	9	Chevrolet	100	27	0	13	0	0	
25	Alex Bowman	48	Chevrolet	100	28	0	12	0	0	
26	Riley Herbst	35	Toyota	100	32	0	13	2	0	
27	Ross Chastain	1	Chevrolet	100	4	4	20	10	0	
28	Carson Hocevar	77	Chevrolet	100	11	0	9	0	0	
29	Bubba Wallace	23	Toyota	100	18	0	9	1	0	
30	Brad Keselowski	6	Ford	100	26	0	7	0	0	
31	Ricky Stenhouse Jr.	47	Chevrolet	100	29	0	6	0	0	
32	Josh Berry	21	Ford	100	34	0	5	0	0	
33	Ty Dillon	10	Chevrolet	99	31	0	4	0	0	
34	Josh Bilicki	66	Ford	99	37	0	0	0	0	
35	Katherine Legge	78	Chevrolet	99	38	0	2	0	0	
36	William Byron	24	Chevrolet	97	13	0	1	0	0	
37	Cody Ware	51	Chevrolet	90	36	0	1	0	0	
38	Joey Logano	22	Ford	85	6	0	10	9	0	
