POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY	
1	Denny Hamlin	11	Toyota	200	1	103	0	0	0	
2	Chase Briscoe	19	Toyota	200	2	61	0	0	0	
3	Erik Jones	43	Toyota	200	7	0	0	0	0	
4	Austin Dillon	3	Chevrolet	200	11	1	0	0	0	
5	Connor Zilisch	88	Chevrolet	200	5	1	0	0	0	
6	Austin Cindric	2	Ford	200	6	0	0	0	0	
7	William Byron	24	Chevrolet	200	4	0	0	0	0	
8	Michael McDowell	71	Chevrolet	200	9	0	0	0	0	
9	Alex Bowman	48	Chevrolet	200	10	0	0	0	0	
10	Brad Keselowski	6	Ford	200	15	0	0	0	0	
11	Noah Gragson	4	Ford	200	14	0	0	0	0	
12	AJ Allmendinger	16	Chevrolet	200	20	0	0	0	0	
13	Ryan Blaney	12	Ford	200	24	0	0	0	0	
14	Carson Hocevar	77	Chevrolet	199	17	0	0	0	0	
15	Ty Dillon	10	Chevrolet	198	13	0	0	0	0	
16	Ricky Stenhouse Jr.	47	Chevrolet	198	16	0	0	0	0	
17	Kyle Busch	8	Chevrolet	198	23	0	0	0	0	
18	Josh Berry	21	Ford	197	19	0	0	0	0	
19	Shane van Gisbergen	97	Chevrolet	197	21	0	0	0	0	
20	Bubba Wallace	23	Toyota	196	12	0	0	0	0	
21	Daniel Suarez	7	Chevrolet	196	26	0	0	0	0	
22	Tyler Reddick	45	Toyota	168	3	34	0	0	0	
23	Christopher Bell	20	Toyota	164	22	0	0	0	0	
24	Ty Gibbs	54	Toyota	138	18	0	0	0	0	
25	Joey Logano	22	Ford	137	8	0	0	0	0	
26	Kyle Larson	5	Chevrolet	134	25	0	0	0	0	
