POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY	
1	Tyler Reddick	45	Toyota	274	1	10	71	16	0	
2	Kyle Larson	5	Chevrolet	274	4	78	54	19	0	
3	Chase Briscoe	19	Toyota	274	5	0	38	4	0	
4	Denny Hamlin	11	Toyota	274	2	131	52	19	0	
5	Bubba Wallace	23	Toyota	274	10	0	39	7	0	
6	Brad Keselowski	6	Ford	274	21	0	35	4	0	
7	William Byron	24	Chevrolet	274	14	0	30	0	0	
8	Chase Elliott	9	Chevrolet	274	13	0	41	12	0	
9	Ty Gibbs	54	Toyota	274	3	0	38	10	0	
10	Chris Buescher	17	Ford	274	7	1	29	2	0	
11	Ryan Preece	60	Ford	274	12	0	26	0	0	
12	Austin Cindric	2	Ford	274	34	0	25	0	0	
13	Carson Hocevar	77	Chevrolet	274	6	6	28	4	0	
14	Riley Herbst	35	Toyota	274	22	0	23	0	0	
15	Corey Heim	67	Toyota	274	24	0	0	0	0	
16	Austin Dillon	3	Chevrolet	274	20	0	21	0	0	
17	Todd Gilliland	34	Ford	274	26	0	20	0	0	
18	Alex Bowman	48	Chevrolet	274	33	0	19	0	0	
19	Daniel Suarez	7	Chevrolet	274	8	1	18	0	0	
20	Christopher Bell	20	Toyota	273	11	47	30	13	0	
21	Ricky Stenhouse Jr.	47	Chevrolet	273	16	0	16	0	0	
22	John Hunter Nemechek	42	Toyota	273	32	0	15	0	0	
23	Erik Jones	43	Toyota	273	19	0	14	0	0	
24	Ryan Blaney	12	Ford	273	9	0	13	0	0	
25	Cole Custer	41	Chevrolet	273	29	0	12	0	0	
26	Ross Chastain	1	Chevrolet	272	31	0	11	0	0	
27	Josh Berry	21	Ford	272	30	0	10	0	0	
28	Noah Gragson	4	Ford	272	28	0	9	0	0	
29	Connor Zilisch	88	Chevrolet	272	36	0	8	0	0	
30	Joey Logano	22	Ford	272	15	0	7	0	0	
31	AJ Allmendinger	16	Chevrolet	271	27	0	6	0	0	
32	Zane Smith	38	Ford	271	25	0	5	0	0	
33	Ty Dillon	10	Chevrolet	271	37	0	4	0	0	
34	Michael McDowell	71	Chevrolet	271	18	0	3	0	0	
35	Kyle Busch	8	Chevrolet	270	23	0	2	0	0	
36	Shane van Gisbergen	97	Chevrolet	270	17	0	1	0	0	
37	Cody Ware	51	Chevrolet	268	35	0	1	0	0	
