POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY	
1	Tyler Reddick	45	Toyota	293	1	77	70	15	0	
2	Brad Keselowski	6	Ford	293	5	142	55	20	0	
3	Ryan Blaney	12	Ford	293	7	0	42	8	0	
4	Carson Hocevar	77	Chevrolet	293	16	2	33	0	0	
5	Austin Cindric	2	Ford	293	12	0	38	6	0	
6	Ty Gibbs	54	Toyota	293	28	1	33	2	0	
7	Daniel Suarez	7	Chevrolet	293	11	0	33	3	0	
8	William Byron	24	Chevrolet	293	13	0	34	5	0	
9	Chris Buescher	17	Ford	293	6	41	42	14	0	
10	Erik Jones	43	Toyota	293	24	0	27	0	0	
11	Denny Hamlin	11	Toyota	293	9	0	26	0	0	
12	Chase Briscoe	19	Toyota	293	23	4	32	7	0	
13	Ryan Preece	60	Ford	293	17	0	29	5	0	
14	Shane van Gisbergen	97	Chevrolet	293	33	0	23	0	0	
15	Chase Elliott	9	Chevrolet	293	3	6	26	4	0	
16	Ross Chastain	1	Chevrolet	293	25	0	21	0	0	
17	Josh Berry	21	Ford	293	26	0	20	0	0	
18	Connor Zilisch	88	Chevrolet	293	32	0	19	0	0	
19	Christopher Bell	20	Toyota	292	22	0	18	0	0	
20	Michael McDowell	71	Chevrolet	292	20	0	17	0	0	
21	Kyle Busch	8	Chevrolet	292	8	0	16	0	0	
22	Zane Smith	38	Ford	292	19	0	15	0	0	
23	Todd Gilliland	34	Ford	292	31	0	14	0	0	
24	Justin Allgaier	48	Chevrolet	292	15	0	0	0	0	
25	Austin Dillon	3	Chevrolet	292	10	0	12	0	0	
26	Noah Gragson	4	Ford	291	30	0	11	0	0	
27	John Hunter Nemechek	42	Toyota	291	21	0	10	0	0	
28	Cole Custer	41	Chevrolet	291	35	0	9	0	0	
29	Ricky Stenhouse Jr.	47	Chevrolet	291	18	0	8	0	0	
30	AJ Allmendinger	16	Chevrolet	291	27	0	7	0	0	
31	Ty Dillon	10	Chevrolet	291	36	0	6	0	0	
32	Kyle Larson	5	Chevrolet	291	4	20	19	14	0	
33	Joey Logano	22	Ford	290	29	0	4	0	0	
34	Bubba Wallace	23	Toyota	288	2	0	11	8	0	
35	Riley Herbst	35	Toyota	288	14	0	2	0	0	
36	Cody Ware	51	Chevrolet	285	34	0	1	0	0	
37	Timmy Hill	66	Ford	52	37	0	0	0	0	
