POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY	
1	Tyler Reddick	45	Toyota	95	1	58	61	6	0	
2	Shane van Gisbergen	97	Chevrolet	95	13	2	45	10	0	
3	Christopher Bell	20	Toyota	95	8	0	34	0	0	
4	Ty Gibbs	54	Toyota	95	9	5	48	15	0	
5	Michael McDowell	71	Chevrolet	95	6	5	40	8	0	
6	Kyle Larson	5	Chevrolet	95	15	0	31	0	0	
7	Chase Elliott	9	Chevrolet	95	5	0	33	3	0	
8	Ryan Blaney	12	Ford	95	4	11	33	4	0	
9	AJ Allmendinger	16	Chevrolet	95	7	1	43	15	0	
10	Denny Hamlin	11	Toyota	95	19	0	28	1	0	
11	Bubba Wallace	23	Toyota	95	24	0	31	5	0	
12	Kyle Busch	8	Chevrolet	95	30	0	25	0	0	
13	William Byron	24	Chevrolet	95	10	1	26	2	0	
14	Connor Zilisch	88	Chevrolet	95	25	0	23	0	0	
15	Joey Logano	22	Ford	95	20	0	22	0	0	
16	Ty Dillon	10	Chevrolet	95	21	0	21	0	0	
17	John Hunter Nemechek	42	Toyota	95	31	0	20	0	0	
18	Ryan Preece	60	Ford	95	29	0	19	0	0	
19	Austin Dillon	3	Chevrolet	95	33	0	18	0	0	
20	Brad Keselowski	6	Ford	95	26	0	17	0	0	
21	Todd Gilliland	34	Ford	95	17	0	23	7	0	
22	Noah Gragson	4	Ford	95	35	0	15	0	0	
23	Riley Herbst	35	Toyota	95	32	0	14	0	0	
24	Chris Buescher	17	Ford	95	14	0	20	7	0	
25	Daniel Suarez	7	Chevrolet	95	23	0	20	8	0	
26	Josh Berry	21	Ford	95	22	0	11	0	0	
27	Jesse Love	33	Chevrolet	95	27	0	0	0	0	
28	Ricky Stenhouse Jr.	47	Chevrolet	95	34	0	9	0	0	
29	Cole Custer	41	Chevrolet	95	18	0	11	3	0	
30	Cody Ware	51	Chevrolet	95	37	0	7	0	0	
31	Carson Hocevar	77	Chevrolet	95	12	0	8	2	0	
32	Austin Cindric	2	Ford	95	28	0	5	0	0	
33	Zane Smith	38	Ford	95	11	0	4	0	0	
34	Erik Jones	43	Toyota	93	36	0	3	0	0	
35	Ross Chastain	1	Chevrolet	93	2	4	13	11	0	
36	Alex Bowman	48	Chevrolet	89	16	0	5	4	0	
37	Chase Briscoe	19	Toyota	62	3	8	1	0	0	
