POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY	
1	Denny Hamlin	11	Toyota	160	1	28	67	12	0	
2	Tyler Reddick	45	Toyota	160	16	24	35	0	0	
3	William Byron	24	Chevrolet	160	9	0	38	4	0	
4	John Hunter Nemechek	42	Toyota	160	8	42	41	8	0	
5	Kyle Larson	5	Chevrolet	160	2	24	41	9	0	
6	Erik Jones	43	Toyota	160	7	1	41	10	0	
7	Chris Buescher	17	Ford	160	6	0	37	7	0	
8	Ross Chastain	1	Chevrolet	160	24	0	34	5	0	
9	Ty Gibbs	54	Toyota	160	4	0	36	8	0	
10	Ryan Blaney	12	Ford	160	10	3	27	0	0	
11	Chase Elliott	9	Chevrolet	160	23	9	27	1	0	
12	Chase Briscoe	19	Toyota	160	5	4	41	16	0	
13	Daniel Suarez	7	Chevrolet	160	3	0	32	8	0	
14	Austin Cindric	2	Ford	160	17	1	23	0	0	
15	Ricky Stenhouse Jr.	47	Chevrolet	160	21	0	28	6	0	
16	Riley Herbst	35	Toyota	160	25	0	21	0	0	
17	Michael McDowell	71	Chevrolet	160	13	0	20	0	0	
18	Austin Hill	33	Chevrolet	160	14	0	0	0	0	
19	Todd Gilliland	34	Ford	160	29	6	28	10	0	
20	Carson Hocevar	77	Chevrolet	160	26	0	21	4	0	
21	Bubba Wallace	23	Toyota	160	38	0	16	0	0	
22	AJ Allmendinger	16	Chevrolet	160	19	0	15	0	0	
23	Connor Zilisch	88	Chevrolet	160	28	0	14	0	0	
24	Cole Custer	41	Chevrolet	160	15	0	13	0	0	
25	Austin Dillon	3	Chevrolet	160	32	0	12	0	0	
26	Christopher Bell	20	Toyota	160	22	18	11	0	0	
27	Alex Bowman	48	Chevrolet	160	12	0	10	0	0	
28	Ryan Preece	60	Ford	159	35	0	9	0	0	
29	Daniel Dye	78	Chevrolet	159	34	0	0	0	0	
30	Cody Ware	51	Chevrolet	159	33	0	7	0	0	
31	Shane van Gisbergen	97	Chevrolet	158	31	0	6	0	0	
32	Ty Dillon	10	Chevrolet	158	27	0	5	0	0	
33	Josh Berry	21	Ford	157	20	0	4	0	0	
34	Joey Logano	22	Ford	156	11	0	5	2	0	
35	Noah Gragson	4	Ford	107	30	0	2	0	0	
36	Casey Mears	62	Chevrolet	105	36	0	1	0	0	
37	Zane Smith	38	Ford	66	18	0	1	0	0	
38	Brad Keselowski	6	Ford	46	37	0	1	0	0	
