POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY	
1	Chase Elliott	9	Chevrolet	400	10	84	55	0	0	
2	Denny Hamlin	11	Toyota	400	1	292	56	21	0	
3	Joey Logano	22	Ford	400	9	0	46	12	0	
4	Ty Gibbs	54	Toyota	400	4	0	49	16	0	
5	William Byron	24	Chevrolet	400	2	6	47	15	0	
6	Ryan Blaney	12	Ford	400	12	2	41	10	0	
7	Christopher Bell	20	Toyota	400	11	0	30	0	0	
8	Austin Cindric	2	Ford	400	6	0	40	11	0	
9	Kyle Larson	5	Chevrolet	400	13	0	30	2	0	
10	Josh Berry	21	Ford	400	3	2	36	9	0	
11	Shane van Gisbergen	97	Chevrolet	400	5	0	34	8	0	
12	Ryan Preece	60	Ford	400	17	0	26	1	0	
13	Brad Keselowski	6	Ford	400	23	0	24	0	0	
14	Chase Briscoe	19	Toyota	400	27	0	23	0	0	
15	Tyler Reddick	45	Toyota	400	8	0	28	6	0	
16	Ross Chastain	1	Chevrolet	400	18	14	21	0	0	
17	Carson Hocevar	77	Chevrolet	400	7	0	20	0	0	
18	Michael McDowell	71	Chevrolet	400	20	0	19	0	0	
19	Chris Buescher	17	Ford	399	16	0	18	0	0	
20	Daniel Suarez	7	Chevrolet	399	22	0	17	0	0	
21	Erik Jones	43	Toyota	399	19	0	16	0	0	
22	Justin Allgaier	48	Chevrolet	398	21	0	0	0	0	
23	Todd Gilliland	34	Ford	398	29	0	14	0	0	
24	Kyle Busch	8	Chevrolet	398	34	0	13	0	0	
25	Austin Dillon	3	Chevrolet	398	30	0	12	0	0	
26	Connor Zilisch	88	Chevrolet	397	25	0	11	0	0	
27	AJ Allmendinger	16	Chevrolet	397	28	0	10	0	0	
28	Noah Gragson	4	Ford	397	31	0	9	0	0	
29	John Hunter Nemechek	42	Toyota	397	32	0	8	0	0	
30	Ricky Stenhouse Jr.	47	Chevrolet	397	33	0	7	0	0	
31	Cole Custer	41	Chevrolet	396	24	0	6	0	0	
32	Cody Ware	51	Chevrolet	394	35	0	5	0	0	
33	Austin Hill	33	Chevrolet	394	37	0	0	0	0	
34	Zane Smith	38	Ford	371	14	0	3	0	0	
35	Riley Herbst	35	Toyota	323	26	0	2	0	0	
36	Bubba Wallace	23	Toyota	322	15	0	1	0	0	
37	Ty Dillon	10	Chevrolet	298	36	0	1	0	0	
