POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY	
1	Daniel Suarez	7	Chevrolet	373	14	17	55	0	0	
2	Christopher Bell	20	Toyota	373	17	44	50	15	0	
3	Denny Hamlin	11	Toyota	373	11	75	60	26	0	
4	Tyler Reddick	45	Toyota	373	1	119	53	20	0	
5	Kyle Larson	5	Chevrolet	373	18	14	54	22	0	
6	Ty Gibbs	54	Toyota	373	2	17	53	22	0	
7	Ryan Blaney	12	Ford	373	6	0	41	11	0	
8	Joey Logano	22	Ford	373	33	0	29	0	0	
9	William Byron	24	Chevrolet	373	31	0	28	0	0	
10	Zane Smith	38	Ford	373	19	31	27	0	0	
11	Shane van Gisbergen	97	Chevrolet	373	3	11	33	7	0	
12	Ricky Stenhouse Jr.	47	Chevrolet	373	32	0	29	4	0	
13	Erik Jones	43	Toyota	373	21	0	30	6	0	
14	Michael McDowell	71	Chevrolet	373	4	3	23	0	0	
15	Brad Keselowski	6	Ford	373	26	0	25	3	0	
16	Cole Custer	41	Chevrolet	373	22	0	21	0	0	
17	Alex Bowman	48	Chevrolet	373	29	0	20	0	0	
18	AJ Allmendinger	16	Chevrolet	373	10	0	19	0	0	
19	Corey Heim	67	Toyota	373	39	0	0	0	0	
20	Todd Gilliland	34	Ford	373	20	0	17	0	0	
21	Riley Herbst	35	Toyota	372	30	0	16	0	0	
22	Bubba Wallace	23	Toyota	372	24	0	15	0	0	
23	Carson Hocevar	77	Chevrolet	372	23	4	14	0	0	
24	Noah Gragson	4	Ford	372	28	0	13	0	0	
25	Ty Dillon	10	Chevrolet	372	35	0	12	0	0	
26	John Hunter Nemechek	42	Toyota	372	15	0	11	0	0	
27	Austin Hill	33	Chevrolet	372	13	0	0	0	0	
28	Cody Ware	51	Chevrolet	371	38	0	9	0	0	
29	Josh Berry	21	Ford	371	34	0	8	0	0	
30	Chris Buescher	17	Ford	367	7	0	10	3	0	
31	Katherine Legge	78	Chevrolet	361	37	0	6	0	0	
32	Austin Dillon	3	Chevrolet	338	9	0	5	0	0	
33	Ryan Preece	60	Ford	328	12	1	7	3	0	
34	Chase Briscoe	19	Toyota	328	5	34	27	24	0	
35	Ross Chastain	1	Chevrolet	317	27	3	2	0	0	
36	Timmy Hill	66	Ford	291	36	0	0	0	0	
37	Chase Elliott	9	Chevrolet	89	16	0	1	0	0	
38	Austin Cindric	2	Ford	52	8	0	1	0	0	
39	Connor Zilisch	88	Chevrolet	52	25	0	1	0	0	
