POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY	
1	Ryan Preece	60	Ford	200	18	46	0	0	0	
2	William Byron	24	Chevrolet	200	2	14	0	0	0	
3	Ryan Blaney	12	Ford	200	16	0	0	0	0	
4	Daniel Suarez	7	Chevrolet	200	20	0	0	0	0	
5	Denny Hamlin	11	Toyota	200	6	0	0	0	0	
6	Chase Briscoe	19	Toyota	200	4	35	0	0	0	
7	Austin Dillon	3	Chevrolet	200	15	0	0	0	0	
8	Chris Buescher	17	Ford	200	8	0	0	0	0	
9	Ross Chastain	1	Chevrolet	200	9	0	0	0	0	
10	Alex Bowman	48	Chevrolet	200	23	0	0	0	0	
11	Joey Logano	22	Ford	200	14	0	0	0	0	
12	Josh Berry	21	Ford	200	21	0	0	0	0	
13	Christopher Bell	20	Toyota	200	5	0	0	0	0	
14	Ty Gibbs	54	Toyota	200	3	5	0	0	0	
15	Carson Hocevar	77	Chevrolet	200	12	18	0	0	0	
16	Kyle Larson	5	Chevrolet	200	1	67	0	0	0	
17	Chase Elliott	9	Chevrolet	200	11	0	0	0	0	
18	Connor Zilisch	88	Chevrolet	200	19	0	0	0	0	
19	Kyle Busch	8	Chevrolet	200	13	0	0	0	0	
20	Shane van Gisbergen	97	Chevrolet	200	17	15	0	0	0	
21	Austin Cindric	2	Ford	200	22	0	0	0	0	
22	Tyler Reddick	45	Toyota	200	10	0	0	0	0	
23	Bubba Wallace	23	Toyota	199	7	0	0	0	0	
